id,active,created_at,description,image_url,manufacturer,name,pack_size,price,reorder_level,requires_prescription,strength,updated_at,category_id
1,true,NOW(),Pain reliever and fever reducer,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/c67db11e88874fdfab3c260e411ed30d.jpg",Sun Pharma,Paracetamol,10 tablets,25.00,50,false,500 mg,NOW(),1
2,true,NOW(),Anti-inflammatory painkiller,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/yssbye7myd6dgld7wn2n.jpg",Cipla,Ibuprofen,10 tablets,40.00,40,false,400 mg,NOW(),1
3,true,NOW(),Strong pain relief,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/946db7a8caa843f2b43e7f5f4cd4be40.jpg",Dr Reddy's,Diclofenac,10 tablets,55.00,30,true,50 mg,NOW(),1
4,true,NOW(),Pain relief and anti-inflammatory,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/kogynmu9hwmwgnfiibaa.jpg",Lupin,Aceclofenac,10 tablets,60.00,30,true,100 mg,NOW(),1
5,true,NOW(),Muscle relaxant,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/mjkrkzsu8nkclm2nbzuo.jpg",Sun Pharma,Chlorzoxazone,10 tablets,75.00,25,true,500 mg,NOW(),1
6,true,NOW(),Antibiotic,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/748f3ba153f24a9e86469f4a7e701d24.jpg",Cipla,Amoxicillin,6 capsules,85.00,30,true,500 mg,NOW(),2
7,true,NOW(),Broad spectrum antibiotic,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/kqkouvaqejbyk47dvjfu.jpg",Sun Pharma,Azithromycin,3 tablets,120.00,25,true,500 mg,NOW(),2
8,true,NOW(),Antibiotic,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/e286fe5de6eb4463bf78b9f79fba9de9.jpg",Lupin,Cefixime,10 tablets,140.00,20,true,200 mg,NOW(),2
9,true,NOW(),Antibiotic,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hkcsim2wgxbpgoesgmj6.jpg",Zydus,Doxycycline,10 capsules,90.00,25,true,100 mg,NOW(),2
10,true,NOW(),Antibiotic,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/twmkx9d51xn6hc77fhov.jpg",Abbott,Levofloxacin,10 tablets,150.00,20,true,500 mg,NOW(),2
